brand,model,model_year,mileage,fuel_type,transmission_type,clean_title,price
53,Avalon Touring,2016,89148.0,Gasoline,A/T,1,17500.0
43,Cayenne Platinum Edition,2017,73043.0,Gasoline,A/T,1,30990.0
36,AMG C 63 S,2017,60000.0,Gasoline,Other,1,52500.0
17,CR-V EX-L,2016,73549.0,Gasoline,CVT,1,20848.0
18,H2 Base,2005,110900.0,Gasoline,A/T,1,19500.0
43,911 Carrera S,2013,39000.0,Gasoline,A/T,1,73000.0
36,CLA-Class CLA 250,2016,120000.0,Gasoline,Other,1,19800.0
10,300 Touring,2009,134602.0,Gasoline,Other,1,7500.0
39,Rogue SV,2023,1094.0,Gasoline,CVT,1,30999.0
3,A3 2.0T,2010,83500.0,Gasoline,Other,1,6500.0
14,Mustang GT Premium,2014,37060.0,Gasoline,Manual,1,28500.0
0,RL Technology,2010,97700.0,Gasoline,Other,1,10995.0
55,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,Other,1,42000.0
3,R8 5.2 V10,2018,8940.0,Gasoline,A/T,1,144900.0
36,GLK-Class GLK 350,2014,186000.0,Gasoline,A/T,1,10000.0
53,C-HR LE,2021,13180.0,Gasoline,CVT,1,23998.0
27,IS 350 Base,2014,104000.0,Gasoline,A/T,1,21000.0
4,X4 M40i,2023,8500.0,Hybrid,Other,1,67900.0
4,M4 CS,2019,19069.0,Gasoline,A/T,1,69998.0
8,CT5 Premium Luxury,2023,6090.0,Gasoline,A/T,1,46900.0
30,Air Grand Touring,2022,4900.0,,A/T,1,99000.0
3,A5 2.0T Premium Plus,2019,47523.0,Gasoline,Other,1,31000.0
10,300C SRT8,2006,43000.0,Gasoline,A/T,1,19995.0
5,Continental GT W12,2017,14684.0,Gasoline,A/T,1,130000.0
4,M4 Base,2019,57800.0,Gasoline,Other,1,55999.0
53,GR Corolla Circuit Edition,2023,952.0,Gasoline,Manual,1,49950.0
3,RS 5 2.9T,2019,21240.0,Gasoline,A/T,1,59950.0
43,Cayenne Base,2019,59338.0,Gasoline,Other,1,42499.0
25,Huracan Tecnica Coupe,2023,255.0,Gasoline,A/T,1,359991.0
32,Quattroporte S,2019,23230.0,Gasoline,A/T,1,44999.0
21,XF 35t R-Sport,2017,48000.0,Gasoline,A/T,1,30000.0
27,ES 330 Base,2005,41059.0,Gasoline,A/T,1,11100.0
26,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,A/T,1,37998.0
43,Cayman GTS,2015,11500.0,Gasoline,A/T,1,72000.0
16,G90 3.3T Premium,2021,9950.0,Gasoline,A/T,1,53950.0
54,Golf R 20th Anniversary Edition,2023,633.0,Gasoline,Manual,1,47999.0
19,Sonata Hybrid Limited,2015,66000.0,Hybrid,A/T,1,15900.0
3,RS 7 4.0T Prestige,2014,59715.0,Gasoline,A/T,1,45000.0
4,740 Li,2012,85252.0,Gasoline,A/T,1,18500.0
36,GLS 450 Base 4MATIC,2020,17900.0,Hybrid,A/T,1,80000.0
4,M6 Base,2016,25500.0,Gasoline,A/T,1,55000.0
50,Forester 2.5 X,2004,210703.0,Gasoline,Manual,1,2300.0
19,Elantra N Base,2023,3800.0,Gasoline,Manual,1,34000.0
24,Niro Plug-In Hybrid EX Premium,2022,36602.0,Hybrid,A/T,1,31995.0
45,R1S Adventure Package,2023,2800.0,,A/T,1,92000.0
2,Martin DBS Superleggera,2021,2165.0,Gasoline,A/T,1,279950.0
36,SLC 300 Base,2018,33000.0,Gasoline,A/T,1,29900.0
4,435 Gran Coupe i,2016,76009.0,Gasoline,A/T,1,24950.0
22,Grand Cherokee Summit,2020,31349.0,Gasoline,A/T,1,39366.0
27,RC 350 Base,2015,48000.0,Gasoline,Other,1,32900.0
4,525 i,2005,91420.0,Gasoline,A/T,1,8900.0
53,Corolla LE,2003,124756.0,Gasoline,Manual,1,4995.0
8,CT5-V Blackwing,2023,2415.0,Gasoline,A/T,1,104900.0
15,Acadia SLT-1,2012,116226.0,Gasoline,A/T,1,7900.0
27,LC 500 Base,2020,37869.0,Gasoline,A/T,1,75950.0
4,i8 Base,2019,41500.0,Plug-In Hybrid,Other,1,86000.0
27,ES 300h Base,2013,87001.0,Hybrid,CVT,1,17995.0
8,CT5-V V-Series,2022,4451.0,Gasoline,A/T,1,55655.0
4,540 i xDrive,2020,27158.0,Gasoline,A/T,1,39998.0
9,Express 1500 Work Van,2014,139804.0,Gasoline,A/T,1,14500.0
22,Gladiator Rubicon,2022,27300.0,Gasoline,A/T,1,47500.0
4,Z4 sDrive28i,2014,36812.0,Gasoline,Other,1,27000.0
26,Rover LR4 HSE LUX Landmark Edition,2016,144000.0,Gasoline,A/T,1,18000.0
8,XT4 Sport,2019,44500.0,Gasoline,A/T,1,28900.0
4,750 750i xDrive,2021,10917.0,Gasoline,A/T,1,73998.0
5,Arnage R,2005,8332.0,Gasoline,A/T,1,47350.0
28,Aviator Reserve AWD,2020,51247.0,Gasoline,A/T,1,47698.0
36,AMG GL AMG GL 63 4MATIC,2016,69000.0,Gasoline,Other,1,36500.0
44,ProMaster 3500 High Roof,2021,147834.0,Gasoline,A/T,1,32662.0
14,Utility Police Interceptor Base,2013,105000.0,E85 Flex Fuel,A/T,1,6600.0
3,A5 2.0T Premium,2011,92203.0,Gasoline,Other,1,9995.0
39,GT-R Premium,2010,15600.0,Gasoline,Other,1,69500.0
26,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700.0,Gasoline,A/T,1,30775.0
53,Corolla LE,2010,72348.0,Gasoline,A/T,1,9995.0
45,R1S Adventure Package,2023,2500.0,,A/T,1,94000.0
36,C-Class C300 4MATIC,2022,13177.0,Gasoline,A/T,1,44798.0
43,Cayenne E-Hybrid S,2016,96000.0,Plug-In Hybrid,Other,1,23000.0
9,Express 1500 Work Van,2011,93009.0,E85 Flex Fuel,A/T,1,22495.0
20,Q70h Base,2016,52750.0,Hybrid,A/T,1,28998.0
3,A7 Premium Plus,2020,25361.0,Hybrid,A/T,1,49998.0
3,Q7 3.0T Premium Plus,2015,98527.0,Gasoline,A/T,1,9995.0
30,Air Pure,2023,1300.0,,A/T,1,86900.0
10,Pacifica Touring,2017,87305.0,–,A/T,1,9000.0
3,TTS 2.0T Premium Plus,2012,72922.0,Gasoline,A/T,1,25999.0
4,650 Gran Coupe i xDrive,2015,41000.0,Gasoline,A/T,1,30000.0
50,Forester Premium,2021,42125.0,Gasoline,CVT,1,27899.0
36,AMG C AMG C 63,2016,62000.0,Gasoline,Other,1,40000.0
26,Rover LR3 HSE,2006,153843.0,Gasoline,A/T,1,9950.0
4,X7 xDrive40i,2019,35248.0,Gasoline,A/T,1,53998.0
14,Transit Connect XLT,2015,194454.0,Gasoline,A/T,1,9888.0
27,LX 570 Three-Row,2021,21000.0,Gasoline,Other,1,89999.0
43,911 Carrera S,2013,18494.0,Gasoline,Manual,1,86900.0
11,Ram 2500 Laramie Quad Cab,2006,218000.0,Gasoline,A/T,1,12990.0
39,Armada SL,2021,67800.0,Gasoline,A/T,1,36500.0
43,Cayman Base,2014,79000.0,Gasoline,Other,1,42999.0
36,GLE 450 GLE 450,2022,24906.0,Hybrid,A/T,1,63998.0
9,Monte Carlo SS,2006,66840.0,Gasoline,A/T,1,12000.0
4,M5 Base,2013,86000.0,Gasoline,Other,1,32000.0
19,Kona N Base,2023,654.0,Gasoline,A/T,1,34599.0
9,Monte Carlo SS,2005,75000.0,Gasoline,A/T,1,12500.0
26,Rover Range Rover Evoque Pure,2015,84000.0,Gasoline,A/T,1,22800.0
3,S7 4.0T Premium Plus,2017,52500.0,Gasoline,Other,1,39999.0
15,Acadia SLT-1,2011,120000.0,Gasoline,A/T,1,7500.0
1,Romeo Stelvio Ti Sport,2020,18665.0,Gasoline,A/T,1,35645.0
13,FF Base,2016,19987.0,Gasoline,A/T,1,149900.0
24,K900 5.0L,2017,36486.0,Gasoline,A/T,1,23950.0
14,E150 XLT,2013,162100.0,E85 Flex Fuel,A/T,1,12500.0
52,Model 3 Performance,2022,13079.0,,A/T,1,47000.0
53,4Runner SR5,2022,28377.0,Gasoline,A/T,1,36999.0
50,Forester Base,2020,32744.0,Gasoline,CVT,1,24000.0
43,Panamera 2,2012,54000.0,Gasoline,A/T,1,26000.0
53,Tacoma PreRunner,2008,202055.0,Gasoline,A/T,1,8500.0
44,2500 Laramie,2019,65000.0,Diesel,A/T,1,65000.0
24,Sportage Nightfall,2022,9686.0,Gasoline,A/T,1,30990.0
8,DTS Base,2010,49620.0,Gasoline,A/T,1,10499.0
53,Land Cruiser Base,1997,213000.0,Gasoline,A/T,1,26500.0
39,GT-R Premium,2020,16010.0,Gasoline,A/T,1,114000.0
27,NX 350 F SPORT Handling,2023,820.0,Gasoline,Other,1,51998.0
3,Q7 45 Premium Plus,2021,68000.0,Gasoline,A/T,1,36499.0
27,LX 470 Base,1999,82000.0,Gasoline,A/T,1,25000.0
15,Terrain SLE,2022,27352.0,Gasoline,A/T,1,27785.0
14,Escape Limited,2012,129000.0,Gasoline,A/T,1,7000.0
27,LS 460 L,2014,106731.0,Gasoline,A/T,1,30000.0
14,Expedition Platinum,2019,34672.0,Gasoline,A/T,1,45500.0
9,Malibu LTZ,2010,55900.0,Gasoline,Other,1,8950.0
3,RS 7 4.0T quattro,2023,3158.0,Gasoline,A/T,1,128900.0
3,A5 2.0T Premium Plus,2015,82000.0,Gasoline,A/T,1,17000.0
16,G70 2.0T,2023,4785.0,Gasoline,A/T,1,42850.0
9,Trailblazer LS,2021,20497.0,Gasoline,A/T,1,22999.0
49,tC Base,2013,177600.0,Gasoline,A/T,1,7100.0
28,MKZ Hybrid Base,2014,78568.0,Hybrid,A/T,1,15500.0
14,Transit-350 XL,2018,95000.0,E85 Flex Fuel,A/T,1,43000.0
43,911 GT2 RS,2018,4529.0,Gasoline,A/T,1,417500.0
14,Explorer Timberline,2021,25240.0,Gasoline,A/T,1,39951.0
55,XC90 3.2,2011,88300.0,Gasoline,A/T,1,11500.0
9,Avalanche LTZ,2013,98000.0,E85 Flex Fuel,A/T,1,27499.0
3,TT RS 2.5T,2018,20675.0,Gasoline,Other,1,76000.0
28,Navigator L,2008,95000.0,Gasoline,A/T,1,10900.0
19,Elantra GLS,2010,107000.0,Gasoline,A/T,1,6250.0
3,SQ5 3.0T Premium Plus,2016,60000.0,Gasoline,Other,1,24700.0
38,Lancer Evolution GSR,2012,33000.0,Gasoline,Manual,1,34999.0
52,Model Y Performance,2023,500.0,,A/T,1,60000.0
36,Maybach S S 600,2016,108500.0,Gasoline,A/T,1,63500.0
39,GT-R Premium,2017,37800.0,Gasoline,Other,1,149500.0
36,GLS 550 Base 4MATIC,2018,74422.0,Gasoline,A/T,1,44798.0
9,Blazer Premier,2019,55621.0,Gasoline,A/T,1,34562.0
34,CX-9 Grand Touring,2021,46707.0,Gasoline,A/T,1,32541.0
14,Expedition Max Limited,2022,26500.0,Gasoline,A/T,1,65900.0
39,Titan XD SV,2020,10001.0,Gasoline,A/T,1,47214.0
27,LX 570 Three-Row,2019,19050.0,Gasoline,A/T,1,76900.0
9,Traverse Premier,2020,52000.0,Gasoline,A/T,1,35800.0
36,Sprinter High Roof,2014,65000.0,Diesel,A/T,1,54999.0
4,X5 3.0i,2004,140000.0,Gasoline,Other,1,6730.0
14,Fusion SE,2018,75600.0,Gasoline,A/T,1,14950.0
28,MKZ Base,2015,117292.0,Gasoline,A/T,1,12000.0
14,GT,2005,1897.0,Gasoline,Manual,1,429998.0
16,G90 5.0 Ultimate,2017,26000.0,Gasoline,Other,1,33600.0
27,LC 500 Base,2022,2071.0,Gasoline,A/T,1,99950.0
14,Shelby GT500 Base,2014,15629.0,Gasoline,Manual,1,61900.0
48,Sky Base,2008,15020.0,Gasoline,A/T,1,18500.0
3,RS Q8 4.0T quattro,2022,11322.0,Gasoline,A/T,1,119900.0
53,Land Cruiser,2016,50361.0,Gasoline,A/T,1,65998.0
36,SL-Class SL 550,2013,115000.0,Gasoline,Other,1,36000.0
43,911 Carrera C2S,2005,28500.0,Gasoline,Manual,1,63500.0
36,AMG GLA 45 Base 4MATIC,2018,51700.0,Gasoline,Other,1,32000.0
14,Taurus X Limited,2008,148949.0,Gasoline,A/T,1,3900.0
4,440 Gran Coupe i,2018,39300.0,Gasoline,A/T,1,31750.0
17,S2000 CR,2008,82323.0,Gasoline,Manual,1,28500.0
0,Integra w/A-Spec Tech Package,2023,3574.0,Gasoline,Other,1,34998.0
14,Excursion Limited,2001,109357.0,Gasoline,A/T,1,12749.0
36,SL-Class SL500 Roadster,2004,46000.0,Gasoline,A/T,1,18853.0
36,CLS-Class CLS 550,2007,123112.0,Gasoline,A/T,1,104999.0
20,G35 Sport,2007,37100.0,Gasoline,Manual,1,16900.0
54,Golf GTI 2.0T S 4-Door,2016,89000.0,Gasoline,Manual,1,14500.0
11,Challenger R/T Scat Pack,2022,1240.0,Gasoline,A/T,1,53900.0
28,Navigator L Reserve,2019,67073.0,Gasoline,A/T,1,47999.0
32,Ghibli S Q4,2015,28700.0,Gasoline,A/T,1,24900.0
52,Model X Base,2023,8200.0,,A/T,1,93999.0
36,AMG G 63 Base,2018,41000.0,Gasoline,Other,1,108900.0
14,Expedition Limited,2018,98995.0,Gasoline,A/T,1,34998.0
54,Routan SE,2012,123815.0,Gasoline,A/T,1,5000.0
6,Veyron 16.4 Grand Sport,2011,6330.0,Gasoline,A/T,1,1950995.0
53,Highlander XLE,2020,61341.0,Gasoline,A/T,1,34084.0
17,Civic LX,2016,96473.0,Gasoline,CVT,1,15599.0
22,Wrangler Unlimited Sahara,2017,66107.0,Gasoline,A/T,1,31331.0
26,Rover Range Rover Supercharged,2008,114287.0,Gasoline,A/T,1,9900.0
0,ILX 2.0L w/Premium Package,2015,75000.0,Gasoline,A/T,1,14500.0
4,M6 Base,2016,45800.0,Gasoline,A/T,1,36800.0
41,2 Launch Edition,2021,12172.0,,A/T,1,35999.0
4,X6 sDrive35i,2016,70582.0,Gasoline,A/T,1,35000.0
43,Cayman S,2014,33088.0,Gasoline,A/T,1,49750.0
28,Corsair Grand Touring,2021,1850.0,Plug-In Hybrid,CVT,1,49000.0
8,DTS Luxury II,2008,94155.0,Gasoline,A/T,1,10500.0
8,ATS 3.6L Luxury,2016,25000.0,Gasoline,A/T,1,17999.0
15,Sierra 1500 SLT,2016,99500.0,Gasoline,A/T,1,27995.0
20,G37 x,2009,158564.0,Gasoline,A/T,1,8750.0
14,Transit-350 XLT,2023,20000.0,Gasoline,A/T,1,78499.0
8,XTS Luxury,2018,46711.0,Gasoline,A/T,1,20850.0
39,NV Passenger NV3500 HD SL V8,2017,46496.0,Gasoline,A/T,1,41000.0
36,GLS 450 Base 4MATIC,2019,19800.0,Gasoline,A/T,1,53800.0
53,Land Cruiser Base,2008,175000.0,Gasoline,A/T,1,37900.0
53,Land Cruiser Base,2016,61500.0,Gasoline,A/T,1,63500.0
44,ProMaster 2500 Window Van High Roof,2016,49750.0,Gasoline,A/T,1,65000.0
25,Gallardo Base,2007,38800.0,Gasoline,Other,1,100000.0
28,MKZ Base,2011,83765.0,Gasoline,A/T,1,8995.0
36,EQS 450 4MATIC,2023,7388.0,,A/T,1,105500.0
25,Huracan Tecnica Coupe,2023,278.0,Gasoline,A/T,1,359991.0
1,Romeo Giulia Quadrifoglio,2022,1966.0,Gasoline,A/T,1,75900.0
9,Trailblazer LT,2021,50648.0,Gasoline,CVT,1,23995.0
53,Land Cruiser Base,1993,231500.0,–,A/T,1,29500.0
25,Urus Base,2021,13692.0,Gasoline,A/T,1,257000.0
20,G37 x,2013,60058.0,Gasoline,A/T,1,15000.0
32,Levante S,2017,54423.0,Gasoline,A/T,1,33950.0
53,Highlander Limited,2022,24001.0,Gasoline,A/T,1,47498.0
39,Armada SL,2022,14735.0,Gasoline,A/T,1,50998.0
3,Q5 Premium,2023,2425.0,Hybrid,A/T,1,42998.0
14,Shelby GT500 Base,2022,2050.0,Gasoline,Other,1,94999.0
28,Navigator L Reserve,2019,64855.0,Gasoline,A/T,1,46995.0
36,EQS 450+ Base,2022,16238.0,,A/T,1,62479.0
44,1500 Laramie,2022,18051.0,Gasoline,A/T,1,47995.0
28,Town Car Base,2004,36524.0,Gasoline,A/T,1,14900.0
0,TLX w/A-Spec Package,2022,14896.0,Gasoline,Other,1,39998.0
53,Camry Hybrid LE,2022,14048.0,Hybrid,CVT,1,29999.0
17,CR-V EX,2003,224000.0,Gasoline,Manual,1,3900.0
36,E-Class E 550,2014,80581.0,Gasoline,Other,1,26000.0
34,MX-5 Miata Grand Touring,2007,81400.0,Gasoline,Manual,1,11000.0
43,718 Boxster Base,2019,6700.0,Gasoline,A/T,1,63000.0
14,Transit-350 XLT,2015,143000.0,Gasoline,A/T,1,22500.0
24,Sportage SX Turbo,2017,87842.0,Gasoline,A/T,1,18688.0
20,G37 S Sport,2010,116451.0,Gasoline,Manual,1,16500.0
39,Titan XD S,2019,53677.0,Gasoline,A/T,1,27900.0
3,S7 2.9T Prestige,2021,12000.0,Hybrid,A/T,1,77500.0
26,Rover Discovery HSE,2019,20034.0,Gasoline,A/T,1,43998.0
14,Transit-350 XLT,2020,32000.0,Diesel,A/T,1,68000.0
20,Q70 3.7,2014,70312.0,Gasoline,A/T,1,19995.0
22,Gladiator Rubicon,2022,8794.0,Gasoline,A/T,1,54000.0
28,MKX Base,2010,156000.0,Gasoline,A/T,1,5900.0
43,911 Carrera 4S,2020,25568.0,Gasoline,Manual,1,134999.0
36,AMG C 43 Base 4MATIC,2018,67100.0,Gasoline,Other,1,34250.0
43,Cayman Base,2014,52000.0,Gasoline,Other,1,37000.0
0,MDX 3.7L Advance,2011,137200.0,Gasoline,Other,1,12000.0
54,Golf R 4-Door w/DCC & Navigation,2018,36000.0,Gasoline,A/T,1,32000.0
24,Forte GT-Line,2023,15500.0,Gasoline,CVT,1,24500.0
4,M8 Competition,2020,10906.0,Gasoline,A/T,1,96998.0
28,MKC Select,2019,49814.0,Gasoline,A/T,1,26545.0
4,i8 Base,2015,846.0,Plug-In Hybrid,A/T,1,86999.0
53,Highlander XLE,2021,67039.0,Gasoline,A/T,1,34645.0
34,CX-30 Premium Package,2023,2636.0,Gasoline,A/T,1,28535.0
43,Cayenne Platinum Edition,2018,50166.0,Gasoline,A/T,1,43550.0
28,MKZ Reserve,2017,37375.0,Gasoline,A/T,1,27500.0
52,Model 3 Standard Range Plus,2021,21600.0,,A/T,1,31000.0
43,718 Cayman S,2019,9500.0,Gasoline,A/T,1,69000.0
9,Corvette Base,2005,143095.0,Gasoline,A/T,1,16000.0
0,RSX Type S,2002,80000.0,Gasoline,Manual,1,8500.0
13,Roma Base,2021,3000.0,Gasoline,A/T,1,275000.0
43,Cayman S,2007,5856.0,Gasoline,Manual,1,45000.0
46,Phantom Drophead Coupe Drophead,2013,2958.0,Gasoline,A/T,1,488880.0
3,SQ7 4.0T,2022,28927.0,Gasoline,A/T,1,74900.0
36,AMG GLS 63 4MATIC,2022,4102.0,Hybrid,A/T,1,144664.0
17,Ridgeline RTL-E,2021,14442.0,Gasoline,A/T,1,38500.0
36,CLK-Class 500 Cabriolet,2005,64000.0,Gasoline,A/T,1,12995.0
27,GX 470 Base,2004,154000.0,Gasoline,A/T,1,10000.0
27,NX 200t Base,2015,54000.0,Gasoline,A/T,1,27000.0
11,Dakota SLT Quad Cab,2007,232492.0,Gasoline,A/T,1,6000.0
32,Ghibli S Q4 GranSport,2020,25721.0,Gasoline,A/T,1,52645.0
26,Rover Discovery Sport SE R-Dynamic,2020,20927.0,Gasoline,A/T,1,35998.0
2,Martin DBX Base,2021,2353.0,Gasoline,A/T,1,159500.0
3,Q3 45 S line Premium,2022,9325.0,Gasoline,A/T,1,33610.0
14,Explorer XLT,2020,61001.0,Gasoline,A/T,1,28616.0
36,AMG GLC 63 Base 4MATIC,2018,71962.0,Gasoline,A/T,1,46900.0
50,BRZ Premium,2023,5800.0,Gasoline,Manual,1,29990.0
4,640 i,2016,40080.0,Gasoline,A/T,1,28499.0
24,Stinger GT2,2020,57000.0,Gasoline,A/T,1,36500.0
9,Bolt EUV Premier,2022,7624.0,,A/T,1,31985.0
50,Forester 2.5 XT,2004,122000.0,Gasoline,Manual,1,9999.0
24,Sportage X-Pro,2023,459.0,Gasoline,A/T,1,36998.0
4,M4 Base,2016,62500.0,Gasoline,A/T,1,40500.0
19,Equus Signature,2013,72000.0,Gasoline,A/T,1,17500.0
36,AMG E 53 4MATIC,2020,8375.0,Gasoline,A/T,1,69900.0
4,M550 i xDrive,2020,40000.0,Gasoline,Other,1,53000.0
50,Impreza WRX STI,2014,77000.0,Gasoline,Manual,1,30000.0
36,AMG G 63 Base,2019,19593.0,Gasoline,A/T,1,159998.0
34,Mazda6 Grand Touring,2020,35902.0,Gasoline,A/T,1,22966.0
19,Veloster Base,2013,800.0,Gasoline,Other,1,9800.0
5,Bentayga S,2023,2600.0,Gasoline,A/T,1,239995.0
26,Rover Defender X-Dynamic SE,2023,6204.0,Hybrid,A/T,1,79998.0
24,Telluride SX,2020,69185.0,Gasoline,A/T,1,37405.0
32,GranTurismo Sport,2015,45000.0,Gasoline,A/T,1,41900.0
4,540 i xDrive,2020,37426.0,Gasoline,A/T,1,39998.0
20,M56 Base,2011,137000.0,Gasoline,Other,1,8500.0
34,Mazda3 s Grand Touring,2016,85000.0,–,A/T,1,18500.0
9,Corvette Stingray w/1LT,2023,4000.0,Gasoline,A/T,1,73900.0
3,Q5 S line Premium Plus,2023,4648.0,Hybrid,A/T,1,47598.0
27,GX 460 Base,2018,52100.0,Gasoline,A/T,1,38000.0
4,X1 sDrive28i,2014,50100.0,Gasoline,A/T,1,10795.0
1,Romeo Stelvio Ti,2020,41000.0,Gasoline,A/T,1,32400.0
44,1500 Big Horn,2021,70968.0,Gasoline,A/T,1,34000.0
4,M4 Base,2015,26600.0,Gasoline,A/T,1,53000.0
52,Model X Long Range,2022,15443.0,,A/T,1,84500.0
55,S90 T5 Momentum,2018,95000.0,Gasoline,A/T,1,18000.0
50,Impreza WRX Sti,2005,94000.0,Gasoline,Manual,1,19500.0
4,X6 xDrive40i,2020,45076.0,Gasoline,A/T,1,57998.0
8,CTS 2.0L Turbo Luxury,2014,110000.0,Gasoline,A/T,1,11000.0
26,Rover Discovery Sport HSE,2016,49083.0,Gasoline,A/T,1,21590.0
16,G90 5.0 Ultimate,2017,63500.0,Gasoline,Other,1,27500.0
36,CLK-Class CLK 350,2009,21500.0,Gasoline,A/T,1,18000.0
26,Rover Range Rover Autobiography,2023,324.0,Gasoline,A/T,1,199998.0
24,Optima EX,2019,68166.0,Gasoline,A/T,1,20818.0
53,Highlander SE,2018,53607.0,Gasoline,A/T,1,31853.0
36,Sprinter 4500 High Roof,2019,16813.0,Diesel,Other,1,45900.0
4,X1 xDrive28i,2020,18200.0,Gasoline,A/T,1,29500.0
3,R8 5.2,2015,51000.0,Gasoline,Other,1,102000.0
3,S3 2.0T Tech Premium Plus,2018,16400.0,Gasoline,A/T,1,42800.0
53,Tundra Hybrid TRD Pro,2022,7000.0,Hybrid,A/T,1,75500.0
3,SQ5 3.0T Premium Plus,2022,8497.0,Gasoline,A/T,1,52900.0
3,A6 2.0T Premium Plus,2016,68000.0,Gasoline,Other,1,20000.0
25,Huracan EVO Base,2022,2523.0,Gasoline,Manual,1,288900.0
4,328 xi,2007,83000.0,Gasoline,A/T,1,8995.0
3,SQ5 3.0T Prestige,2018,25000.0,Gasoline,A/T,1,50000.0
8,Escalade Sport Platinum,2021,15689.0,Diesel,A/T,1,97952.0
4,M235 i,2014,125450.0,Gasoline,Manual,1,17200.0
24,Telluride SX,2023,9822.0,Gasoline,A/T,1,50998.0
9,Express 3500 Base,2008,144000.0,Gasoline,A/T,1,22000.0
15,Acadia SLE,2020,30900.0,Gasoline,A/T,1,27654.0
4,X3 xDrive30i,2021,2492.0,Gasoline,A/T,1,41598.0
3,TT 2.0T,2015,126760.0,Gasoline,A/T,1,14000.0
50,Outback 3.6R Touring,2017,100680.0,Gasoline,A/T,1,20500.0
